mal,rad,area
0,8.671,0
0,16.14,0.055
0,10.9,0.00309
0,11.3,0.1548
0,14.22,0.1103
0,11.33,0.001487
1,25.73,0.3368
0,14.74,0.04105
0,13.64,0.01857
0,11.68,0.04279
1,15.7,0.06593
0,11.43,0.02031
1,19.02,0.1468
1,16.16,0.1043
1,16.02,0.03299
0,8.598,0.03
1,16.78,0.08422
0,16.5,0.05862
0,12.85,0.06126
0,14.2,0.05063
0,11.5,0.02638
1,13.61,0.08625
1,17.05,0.191
1,14.45,0.118
0,14.8,0.04069
0,12.36,0.02643
0,13.9,0.02224
0,9.173,0.05988
0,12,0.04055
1,19.8,0.1272
0,14.06,0.02681
1,18.46,0.1335
1,14.68,0.07395
1,13.77,0.1385
1,19.18,0.1114
1,17.02,0.2417
0,11.04,0.03046
1,17.2,0.1692
0,11.28,0.04635
0,9.876,0.01756
0,12.34,0.02958
1,16.35,0.1811
0,13.34,0.1169
0,12.18,0.0249
0,14.53,0.08817
0,11.63,0.0716
0,13.46,0.04201
0,11.14,0.04505
0,13.46,0.01271
1,16.46,0.1793
0,11.41,0.06181
1,15.28,0.05375
0,12.42,0.01053
1,22.01,0.2448
1,19.17,0.2065
0,10.82,0.01548
0,12.89,0.1374
1,13.28,0.09847
0,10.16,0.005025
0,12.62,0.05438
0,12.47,0.03609
0,12.06,0.01972
1,14.78,0.1267
0,11.27,0.079
0,12.8,0.0739
1,20.6,0.3514
1,12.77,0.04711
0,14.42,0.08007
1,19.53,0.1145
0,10.75,0.02251
0,11.34,0.05133
0,10.94,0.04944
0,12.78,0.03653
1,27.42,0.3635
0,12.21,0.04392
0,12.05,0.07943
0,11.41,0.03512
0,13.65,0.03888
1,15.49,0.1891
0,10.51,0.02495
0,13.14,0.1085
0,12.65,0.08017
0,9.268,0.0973
0,12.1,0.04783
1,15.46,0.203
0,11.71,0.03592
0,10.8,0.02531
0,11.87,0.08777
0,10.17,0.01084
0,12.46,0.0683
1,13.44,0.0311
0,11.6,0.01974
1,19.55,0.1856
1,17.3,0.1266
0,12.81,0.009193
0,9.904,0.1307
1,13.48,0.1063
0,8.196,0.01588
1,27.22,0.2871
0,10.96,0.05263
0,12.47,0.08005
1,24.63,0.231
1,13.82,0.1357
0,13.62,0.02974
1,20.13,0.144
0,12.03,0.001546
1,16.27,0.1478
0,11.29,0.03265
0,12.34,0.0537
1,13.17,0.08259
1,18.66,0.1457
0,13.66,0.04249
1,18.03,0.109
1,18.65,0.1974
0,12.86,0.03889
0,12.46,0.007173
1,21.75,0.2195
0,12.06,0.00751
0,14.41,0.1362
0,8.219,0.1321
0,12.54,0.05928
1,20.64,0.1527
0,10.88,0.05115
1,20.44,0.09799
